naics_3digit,mechanism,max_rate,cap_earnings,cap_supply_chain,cap_macro,hs_codes,effective_date
HS_15,cusma_agri_conditional,25.0,2,2,2,"15042000,15081000,15119000,15121919,15121929,15141100,15141900,15149100,15149900,15171010,15171020,15179021,15179022",
HS_16,cusma_agri_conditional,25.0,2,2,2,"16010011,16010019,16010021,16010022,16010023,16010031,16010032,16010090,16021010,16021090,16022021,16022022,16022031,16022032,16022090,16023111,16023112,16023113,16023114,16023191",
HS_17,cusma_agri_conditional,25.0,2,2,2,"17011210,17011290,17011310,17011390,17011400,17019190,17019990,17022000,17031010,17031090,17039010,17039090,17041000,17049010,17049020,17049090",
HS_18,cusma_agri_conditional,25.0,2,2,2,"18062022,18063100,18069012,18069090",
HS_20,cusma_agri_conditional,25.0,2,2,2,"20011000,20081110,20081190,20091200",
HS_39,cusma_agri_conditional,25.0,2,2,2,"39181010,39181090,39189010,39189090,39191099,39221000,39222000,39229000,39232190,39232990,39241000,39249000,39251000,39252000,39253000,39259000",
HS_21,cusma_agri_conditional,25.0,2,2,2,"21031000,21032010,21032090,21033010,21033020,21039010,21041000,21050092,21069021,21069032,21069034,21069035,21069039,21069052,21069094,21069095",
HS_22,cusma_agri_conditional,25.0,2,2,2,"22021000,22029931,22029933,22029939,22030000,22041010,22041090,22042110,22042121,22042122,22042123,22042124,22042125,22042126,22042127,22042128,22042131,22042132,22042141,22042149",
HS_23,cusma_agri_conditional,25.0,2,2,2,23099032,
HS_24,cusma_agri_conditional,25.0,2,2,2,"24011010,24011091,24011099,24012010,24012090,24013000,24021000,24022000,24029000,24031100,24031900,24039110,24039120,24039190,24039910,24039920,24039990,24041110,24041190,24041200",
HS_25,demand_compression,25.0,2,2,2,25051000,
HS_33,cusma_agri_conditional,25.0,2,2,2,"33030000,33041000,33042000,33043000,33049100,33049990,33051000,33052000,33053000,33059000,33061000,33062000,33071000,33072000,33073000,33074100,33074900",
HS_34,cusma_agri_conditional,25.0,2,2,2,"34011110,34011190,34011900,34012020,34012090,34013000,34060090",
HS_35,cusma_agri_conditional,25.0,2,2,2,"35011000,35021120,35021920,35022000,35040012,35061000",
HS_97,demand_compression,25.0,2,2,2,97019110,
HS_63,cusma_agri_conditional,25.0,1,2,1,"63011000,63012000,63013000,63014000,63019000,63021000,63022100,63022200,63022900,63023100,63023200,63023900,63024000,63025100,63025300,63025910,63025990,63026000,63029100,63029300",
HS_62,cusma_agri_conditional,25.0,1,2,1,"62012000,62013010,62013090,62014010,62014090,62019000,62022000,62023000,62024000,62029010,62029090,62031100,62031200,62031910,62031990,62032200,62032300,62032910,62032990,62033100",
HS_61,cusma_agri_conditional,25.0,1,2,1,"61012000,61013000,61019000,61021000,61022000,61023000,61029000,61031010,61031090,61032200,61032300,61032900,61033100,61033200,61033300,61033910,61033990,61034100,61034200,61034300",
HS_57,cusma_agri_conditional,25.0,1,2,1,"57011010,57011090,57019010,57019090,57021000,57022000,57023100,57023200,57023900,57024100,57024200,57024900,57025010,57025090,57029100,57029200,57029910,57029990,57031010,57031090",
