filing_id,local_path,profile_id,ticker,issuer_name,filing_type,filing_date,naics,profile_number
25ac24ad941f68b4f168cc30b7cfd6ef,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_1.pdf,,2024_1_ESG,2024 1,ESG_REPORT,2024-01-01,,
5fa199cf47453928f6eafc4e791710f6,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_10.pdf,,2024_10_ESG,2024 10,ESG_REPORT,2024-01-01,,
71a002b34c5f7f044f43f0421bae3f1a,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_100.pdf,,2024_100_ESG,2024 100,ESG_REPORT,2024-01-01,,
bf34cbe48ab7c669b52fe57e493ab7f4,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_100_carbonoffsetspurchases.pdf,,2024_100_CARBONOFFSETSPU_ESG,2024 100 carbonoffsetspurchases,ESG_REPORT,2024-01-01,,
cccbc9aa0c496519c550f0688ed0f723,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_101.pdf,,2024_101_ESG,2024 101,ESG_REPORT,2024-01-01,,
eb5a253cbb18353f7a3065a18a706b81,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_102.pdf,,2024_102_ESG,2024 102,ESG_REPORT,2024-01-01,,
9566f8a2dee2f6abeed9432f9dfdabc3,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_103.pdf,,2024_103_ESG,2024 103,ESG_REPORT,2024-01-01,,
ceb0da5911066feb1cff97c52c4d58a2,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_107.pdf,,2024_107_ESG,2024 107,ESG_REPORT,2024-01-01,,
30c4cfd3314c6a45ea8af9f7f2ba706e,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_109.pdf,,2024_109_ESG,2024 109,ESG_REPORT,2024-01-01,,
7d897f54429ccf0290c4d195eb624721,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_11.pdf,,2024_11_ESG,2024 11,ESG_REPORT,2024-01-01,,
910c18954489d6850b4c1db7f22b15d8,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_110.pdf,,2024_110_ESG,2024 110,ESG_REPORT,2024-01-01,,
b9ced37d50565d96908a877a284d280f,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_114.pdf,,2024_114_ESG,2024 114,ESG_REPORT,2024-01-01,,
815258795dfd76bf493f4d0defc7bd2c,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_116.pdf,,2024_116_ESG,2024 116,ESG_REPORT,2024-01-01,,
aed17307b92e1b7e3d160258cfcdc4e9,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_117.pdf,,2024_117_ESG,2024 117,ESG_REPORT,2024-01-01,,
852f93676b41deb175a63d6119f3aa3a,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_119.pdf,,2024_119_ESG,2024 119,ESG_REPORT,2024-01-01,,
a6386ed66edb2da8ff4253081e27bb0e,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_12.pdf,,2024_12_ESG,2024 12,ESG_REPORT,2024-01-01,,
fe83c0203d731386bdcb5f0c4170c84f,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_121.pdf,,2024_121_ESG,2024 121,ESG_REPORT,2024-01-01,,
61bceb94bcca4c5c4354b67a0f7a2ac1,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_122.pdf,,2024_122_ESG,2024 122,ESG_REPORT,2024-01-01,,
bc3fb3d7dd0b391dccecca7af7e7c6d7,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_123.pdf,,2024_123_ESG,2024 123,ESG_REPORT,2024-01-01,,
de2a33c88d8251622e2a203034cc1730,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_124.pdf,,2024_124_ESG,2024 124,ESG_REPORT,2024-01-01,,
e53e71c6d042e691f7300a169cba3da2,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_125.pdf,,2024_125_ESG,2024 125,ESG_REPORT,2024-01-01,,
c153e22362df27ffdb8d035a827a33f2,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_127.pdf,,2024_127_ESG,2024 127,ESG_REPORT,2024-01-01,,
784808ce80af5e4bcc6ab676afda581d,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_128.pdf,,2024_128_ESG,2024 128,ESG_REPORT,2024-01-01,,
0a3c4174b3fbc67189bfc8b92ad4f356,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_129.pdf,,2024_129_ESG,2024 129,ESG_REPORT,2024-01-01,,
5ec1525be75576164025f5d025d1f63e,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_130.pdf,,2024_130_ESG,2024 130,ESG_REPORT,2024-01-01,,
efd2cdc1ca5c84fe3543d2099241e8d2,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_131.pdf,,2024_131_ESG,2024 131,ESG_REPORT,2024-01-01,,
b6089a186119f1bc445925965ba31bc5,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_133.pdf,,2024_133_ESG,2024 133,ESG_REPORT,2024-01-01,,
467547d5fb0bb02c7608b393379e92dc,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_134.pdf,,2024_134_ESG,2024 134,ESG_REPORT,2024-01-01,,
25ff91b76262df5826f850e392b8ce50,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_135.pdf,,2024_135_ESG,2024 135,ESG_REPORT,2024-01-01,,
a66f4acfe1f49ed5773db1aaa4e4ea8e,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_136.pdf,,2024_136_ESG,2024 136,ESG_REPORT,2024-01-01,,
8ec9682cc99ee86ee6ef498090b7625e,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_137.pdf,,2024_137_ESG,2024 137,ESG_REPORT,2024-01-01,,
082c45cd738f823434a4a74ced281b50,/mnt/c/Users/casey/ISF/ISF Research team/1. Project/TSX Report/2024/ESG Reports 2024/2024_139.pdf,,2024_139_ESG,2024 139,ESG_REPORT,2024-01-01,,
